query,intent
In how many countries are Eli Lilly and Company's products sold?,Historical Data
"What was the amount of unrecognized tax benefits recorded as of January 28, 2023?",Metric Inquiry
How does Tesla’s stock performance compare to other electric vehicle manufacturers?,Fundamental Data Request
What are the expected impacts of CORSIA and ETS on FedEx Express's operations?,Forecasting & Predictions
What does Part IV Item 15 include in a financial document?,Fundamental Data Request
Where are the consolidated financial statements and accompanying notes listed in the Annual Report on Form 10-K?,Fundamental Data Request
In which item and part of a financial document would you find information on legal proceedings?,Fundamental Data Request
What are the consequences of the company failing to protect its intellectual property?,Fundamental Data Request
How are expected credit losses estimated for securities according to their accounting treatment?,Metric Inquiry
What was the adjustment for Cadillac dealer strategy in 2023?,Historical Data
Can I get a breakdown of Amazon’s earnings per share for the last quarter?,Historical Data
Where are the consolidated financial statements and accompanying notes located as described in Item 8?,Fundamental Data Request
How does the company's infrastructure software solutions support customers?,Fundamental Data Request
What were the key drivers behind Microsoft’s stock price increase this month?,Fundamental Data Request
What challenges does the company face regarding water usage?,Fundamental Data Request
"As of October 31, 2023, what was the goodwill amount for the HPC & AI reporting unit?",Historical Data
How much did Resource Industries' profit increase in 2023 and what were the main contributing factors?,Metric Inquiry
What were the basic earnings per share for Visa's Class A common stock in fiscal 2023?,Historical Data
"What was the net cash used in investing activities for the year ended December 31, 2023, and what were the primary components of this expenditure?",Historical Data
What was the primary reason for the increase in shipping costs in 2023 compared to the previous year?,Comparative Analysis
What overall context does Item 3. Legal Proceedings offer regarding the company?,Fundamental Data Request
What architecture is the AMD Radeon RX 7000 series built on and what does it provide?,Fundamental Data Request
What is the primary goal of Tesla's existence?,Fundamental Data Request
Why did the current portion of long-term debt increase in 2023 compared to 2022?,Comparative Analysis
What steps will be taken to monitor the Asia Pacific reporting unit's performance against possible impairment?,Forecasting & Predictions
What event took place in September 2021 involving the Company and the counsel representing plaintiffs?,News Impact
How does Intuit's ProSeries software serve its users?,Fundamental Data Request
What drove the increase in SM&A expenses in 2023?,Historical Data
"How many aircraft did Delta Air Lines lease as of December 31, 2023, and how are these leases classified?",Historical Data
What was the earnings from operations for Optum in 2023?,Historical Data
What is the impact of structural changes on the unit case volume and concentrate sales volume of the company on a consolidated basis or at the geographic operating segment level?,Fundamental Data Request
What program offers Chipotle employees access to tuition-free degrees at select universities?,Metric Inquiry
What information is provided under ITEM 6 in the text?,Fundamental Data Request
How did the expenses from comparable owned and leased hotels change and what were the contributing factors?,Comparative Analysis
How much did Electronic Arts' live services and other net revenue increase in fiscal year 2023?,Comparative Analysis
"What is the responsibility of AMC Entertainment Holdings, Inc.'s management regarding internal control over financial reporting?",Fundamental Data Request
What section from item 8 addresses financial information?,Fundamental Data Request
"How many warehouses did Costco operate worldwide as of September 3, 2023?",Historical Data
"What was the weighted-average grant-date fair value of stock options granted in 2021, 2022, and 2023?",Historical Data
"What are some of the potential consequences for Meta Platforms, Inc. from inquiries or investigations as noted in the provided text?",News Impact
"What led to the significant decrease in supplier settlements in the fiscal year ended June 30, 2023?",Fundamental Data Request
What is the projected range for capital expenditures for fiscal 2024?,Metric Inquiry
What potential impacts of the Rebate Rule have led PCMA to file a lawsuit?,News Impact
By what percentage did the closing solutions revenues decrease in 2023 compared to 2022?,Metric Inquiry
What was the increase in non-GAAP gross profit from 2022 to 2023?,Historical Data
What is the relationship between the ESG goals and the long-term growth strategy?,Fundamental Data Request
How could changes in input estimates impact the financial position of the company?,Metric Inquiry
How is the Financial Statements and Supplementary Data section numbered in some documents?,Fundamental Data Request
What was the increase in net cash used from financing activities for fiscal 2022 compared to the previous fiscal year?,Historical Data
What was AMC's minimum liquidity requirement under the Credit Agreement?,Historical Data
When was AT&T Inc. incorporated and under which state's laws?,Historical Data
How are changes in operating expenses primarily driven at Ford Credit?,Fundamental Data Request
What uncertainties exist regarding projections of future cash needs and cash flows?,Forecasting & Predictions
"How are fixed payments for common area maintenance, real estate taxes, and insurance treated in real estate lease agreements?",Fundamental Data Request
What type of legal action did the company seek in the initial lawsuit filed against Aqua-Chem in Georgia in 2002?,Historical Data
What was the comprehensive income of Chipotle Mexican Grill in 2023?,Metric Inquiry
"What was the total amount spent by Enphase Energy, Inc. on repurchasing shares under the 2023 Repurchase Program during the year ending December 31, 2023?",Historical Data
What is the effect of a 10% increase in the cost of sales incentives on General Motorsâ€™ liability?,Forecasting & Predictions
What financial impact did the actuarial adjustments of pension and postretirement healthcare plans have in 2023 compared to 2022?,Comparative Analysis
What are exploratory wells and how do they differ from development wells?,Fundamental Data Request
